epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3133.84,1.10001,0.88343,1.30546,0.70552,0.78799,0.78555,0.44427,1.62539,0.90132,1.75106,0.0071884,0.0071884,0.0071884
144,3154.44,1.09504,0.87687,1.30322,0.77485,0.74243,0.79251,0.44737,1.5918,0.92243,1.74326,0.0071686,0.0071686,0.0071686
145,3176.76,1.1189,0.90022,1.31863,0.72355,0.67482,0.75253,0.43998,1.64543,1.16663,1.7832,0.0071488,0.0071488,0.0071488
146,3199.81,1.10829,0.89134,1.31292,0.7686,0.71483,0.75404,0.43392,1.58949,1.02089,1.71191,0.007129,0.007129,0.007129
147,3221.78,1.09357,0.86819,1.29347,0.67943,0.79749,0.78132,0.47179,1.47643,0.92382,1.66868,0.0071092,0.0071092,0.0071092
148,3243.95,1.08533,0.86468,1.28831,0.80617,0.66081,0.771,0.4633,1.47489,1.00669,1.65897,0.0070894,0.0070894,0.0070894
149,3267.08,1.09143,0.87491,1.29244,0.74319,0.76462,0.76712,0.47183,1.50072,0.93669,1.65781,0.0070696,0.0070696,0.0070696
150,3290.27,1.08793,0.85393,1.28587,0.69898,0.80685,0.76426,0.41788,1.60709,0.93841,1.82632,0.0070498,0.0070498,0.0070498
151,3313.54,1.09551,0.87266,1.29009,0.77033,0.63672,0.70759,0.43846,1.61482,1.0299,1.73793,0.00703,0.00703,0.00703
152,3336.01,1.07725,0.83502,1.27911,0.67124,0.73861,0.75876,0.46501,1.50095,0.93018,1.68944,0.0070102,0.0070102,0.0070102
153,3359.8,1.08447,0.86613,1.28204,0.70204,0.70989,0.71413,0.42793,1.62612,1.00423,1.79044,0.0069904,0.0069904,0.0069904
154,3383.61,1.07516,0.86131,1.28049,0.67663,0.8235,0.78778,0.43908,1.64669,0.90595,1.85286,0.0069706,0.0069706,0.0069706
155,3407.37,1.0727,0.84456,1.27572,0.78176,0.65721,0.76304,0.43359,1.52437,1.02768,1.6591,0.0069508,0.0069508,0.0069508
156,3431.12,1.07263,0.83743,1.2764,0.68977,0.7209,0.73951,0.46099,1.58072,0.9764,1.74066,0.006931,0.006931,0.006931
